"Name","Date","Open","High","Low","Close","Adj.Close","Volume"
"AAPL","2018-01-02",42.540001,43.075001,42.314999,43.064999,40.722881,102223600
"AAPL","2018-01-03",43.1325,43.637501,42.990002,43.057499,40.715767,118071600
"AAPL","2018-01-04",43.134998,43.3675,43.02,43.2575,40.904903,89738400
"AAPL","2018-01-05",43.360001,43.842499,43.262501,43.75,41.370625,94640000
"AAPL","2018-01-08",43.587502,43.9025,43.482498,43.587502,41.216949,82271200
"AAPL","2018-01-09",43.637501,43.764999,43.352501,43.5825,41.212231,86336000
"AAPL","2018-01-10",43.290001,43.575001,43.25,43.572498,41.20277,95839600
"AAPL","2018-01-11",43.647499,43.872501,43.622501,43.82,41.436813,74670800
"AAPL","2018-01-12",44.044998,44.34,43.912498,44.272499,41.864708,101672400
"AAPL","2018-01-16",44.474998,44.8475,44.035,44.047501,41.651939,118263600
"AAPL","2018-01-17",44.037498,44.8125,43.767502,44.775002,42.339878,137547200
"AAPL","2018-01-18",44.842499,45.025002,44.5625,44.814999,42.377697,124773600
"AAPL","2018-01-19",44.6525,44.895,44.352501,44.615002,42.188591,129700400
"AAPL","2018-01-22",44.325001,44.445,44.150002,44.25,41.843437,108434400
"AAPL","2018-01-23",44.325001,44.860001,44.205002,44.259998,41.852886,130756400
"AAPL","2018-01-24",44.3125,44.325001,43.299999,43.555,41.18623,204420400
"AAPL","2018-01-25",43.627499,43.737499,42.6325,42.7775,40.451012,166116000
"AAPL","2018-01-26",43,43,42.514999,42.877499,40.54557,156572000
"AAPL","2018-01-29",42.540001,42.540001,41.767502,41.990002,39.706341,202561600
"AAPL","2018-01-30",41.3825,41.842499,41.174999,41.7425,39.472298,184192800
"AAPL","2018-01-31",41.717499,42.110001,41.625,41.857498,39.581043,129915600
"AAPL","2018-02-01",41.7925,42.154999,41.689999,41.945,39.66378,188923200
"AAPL","2018-02-02",41.5,41.700001,40.025002,40.125,37.942776,346375200
"AAPL","2018-02-05",39.775002,40.970001,39,39.122501,36.994801,290954000
"AAPL","2018-02-06",38.7075,40.93,38.5,40.7575,38.540867,272975200
"AAPL","2018-02-07",40.772499,40.849998,39.767502,39.884998,37.715824,206434400
"AAPL","2018-02-08",40.072498,40.25,38.7575,38.787498,36.678009,217562000
"AAPL","2018-02-09",39.267502,39.4725,37.560001,39.102501,37.126637,282690400
"AAPL","2018-02-12",39.625,40.9725,39.377499,40.677502,38.622051,243278000
"AAPL","2018-02-13",40.487499,41.1875,40.412498,41.084999,39.008949,130196800
"AAPL","2018-02-14",40.759998,41.884998,40.720001,41.842499,39.728184,162579600
"AAPL","2018-02-15",42.447498,43.272499,42.25,43.247501,41.062183,204588800
"AAPL","2018-02-16",43.09,43.705002,42.942501,43.107498,40.92926,160704400
"AAPL","2018-02-20",43.012501,43.564999,42.855,42.962502,40.791595,135722000
"AAPL","2018-02-21",43.2075,43.529999,42.752499,42.767502,40.606438,149886400
"AAPL","2018-02-22",42.950001,43.487499,42.927502,43.125,40.945877,123967600
"AAPL","2018-02-23",43.4175,43.912498,43.384998,43.875,41.657978,135249600
"AAPL","2018-02-26",44.087502,44.8475,44.052502,44.7425,42.481647,152648800
"AAPL","2018-02-27",44.775002,45.119999,44.540001,44.5975,42.34396,155712400
"AAPL","2018-02-28",44.814999,45.154999,44.512501,44.529999,42.279881,151128400
"AAPL","2018-03-01",44.634998,44.945,43.165001,43.75,41.539291,195208000
"AAPL","2018-03-02",43.200001,44.075001,43.112499,44.052502,41.826508,153816000
"AAPL","2018-03-05",43.802502,44.435001,43.630001,44.205002,41.97131,113605600
"AAPL","2018-03-06",44.477501,44.5625,44.032501,44.1675,41.935699,95154000
"AAPL","2018-03-07",43.735001,43.962502,43.567501,43.7575,41.546421,126814000
"AAPL","2018-03-08",43.869999,44.279999,43.767502,44.235001,41.999786,95096400
"AAPL","2018-03-09",44.490002,45,44.3475,44.994999,42.721386,128740800
"AAPL","2018-03-12",45.072498,45.5975,45.052502,45.43,43.134407,128828400
"AAPL","2018-03-13",45.647499,45.875,44.810001,44.9925,42.719009,126774000
"AAPL","2018-03-14",45.080002,45.130001,44.452499,44.610001,42.355839,117473600
"AAPL","2018-03-15",44.625,45.060001,44.517502,44.662498,42.405689,90975200
"AAPL","2018-03-16",44.662498,44.779999,44.404999,44.505001,42.256145,157618800
"AAPL","2018-03-19",44.330002,44.3675,43.415001,43.825001,41.610504,133787200
"AAPL","2018-03-20",43.810001,44.200001,43.735001,43.810001,41.596268,78597600
"AAPL","2018-03-21",43.759998,43.772499,42.814999,42.817501,40.653912,148219600
